lat,lng,ST_NAME,ADDRESS,label_type
42.002741496840365,-87.67191716414332,CLARK,6637 N CLARK ST,MissingTactileStrip
42.01919849521324,-87.66895163319201,HOWARD,1511 W HOWARD ST,Obstruction
42.008230920022086,-87.68139586830284,RIDGE,6963 N RIDGE BLVD,SurfaceProblem
42.00336827455576,-87.67501173975425,NORTH SHORE,1767 W NORTH SHORE AVE,MissingCurbRamp
42.0138051248505,-87.66518587327698,CHASE,1329 W CHASE AVE,MissingTactileStrip
42.00695510028098,-87.66801729434556,FARWELL,1500 W FARWELL AVE,SurfaceProblem
42.00025292438834,-87.66936472379463,BOSWORTH,6506 N BOSWORTH AVE,Obstruction
42.02218497073912,-87.6657637695699,EASTLAKE,7744 N EASTLAKE TER,MissingCurbRamp
41.999323715235995,-87.67729018317068,RIDGE,6449 N RIDGE BLVD,Obstruction
42.01753975910668,-87.66832875466874,GREENVIEW,7450 N GREENVIEW AVE,SurfaceProblem
42.01247150098792,-87.6851214103778,HAMILTON,7204 N HAMILTON AVE,Obstruction
42.00657663559395,-87.67966292538101,FARWELL,1940 W FARWELL AVE,SurfaceProblem
42.01145282085151,-87.67895798065817,ESTES,1918 W ESTES AVE,SurfaceProblem
42.01455212300788,-87.67809659615884,ROGERS,7341 N ROGERS AVE,SurfaceProblem
41.998919168527486,-87.68152741742622,SEELEY,6434 N SEELEY AVE,SurfaceProblem
42.01109779744058,-87.68350789861634,ESTES,2079 W ESTES AVE,SurfaceProblem
42.005277587014405,-87.66341872844491,PRATT,1263 W PRATT BLVD,Obstruction
42.007549648104934,-87.67979052244635,MORSE,1945 W MORSE AVE,SurfaceProblem
41.99833942482779,-87.68638113492293,BELL,6416 N BELL AVE,SurfaceProblem
42.01456057683256,-87.674821254481,CLARK,7361 N CLARK ST,SurfaceProblem
42.01422650084267,-87.68724718941097,OAKLEY,7301 N OAKLEY AVE,Obstruction
41.99848639609831,-87.68732775127641,OAKLEY,6423 N OAKLEY AVE,Obstruction
41.99958508409292,-87.67741082963896,RIDGE,6451 N RIDGE BLVD,MissingTactileStrip
42.0117682214056,-87.69003997529742,WESTERN,7127 N WESTERN AVE,MissingTactileStrip
42.00634352355586,-87.67911457094003,FARWELL,1927 W FARWELL AVE,Obstruction
42.0001900948657,-87.67993462717614,DAMEN,6511 N DAMEN AVE,MissingCurbRamp
42.00875298800443,-87.68029052859191,LUNT,1959 W LUNT AVE,SurfaceProblem
42.01306417406407,-87.68484628170022,HAMILTON,7227 N HAMILTON AVE,MissingTactileStrip
42.00742000818235,-87.66171278829268,SHERIDAN,6920 N SHERIDAN RD,Obstruction
42.0019034507751,-87.66662848743378,NEWGARD,6601 N NEWGARD AVE,Obstruction
42.00623692622387,-87.67781774412991,WOLCOTT,6835 N WOLCOTT AVE,MissingTactileStrip
42.00597030669303,-87.68069522677861,RIDGE,6826 N RIDGE BLVD,MissingTactileStrip
42.02261488796001,-87.67240300180336,JUNEWAY,1644 W JUNEWAY TER,SurfaceProblem
42.01921190971982,-87.68148400074982,HOWARD,2017 W HOWARD ST,MissingCurbRamp
41.99967633966937,-87.68816859953377,ARTHUR,2310 W ARTHUR AVE,SurfaceProblem
42.000728529992706,-87.66695468644791,NEWGARD,6524 N NEWGARD AVE,MissingCurbRamp
42.004472966995756,-87.67503698432559,COLUMBIA,1758 W COLUMBIA AVE,MissingCurbRamp
42.00254095678229,-87.66412565953334,ALBION,1310 W ALBION AVE,Obstruction
42.01804822724465,-87.66921373750274,BIRCHWOOD,1525 W BIRCHWOOD AVE,MissingTactileStrip
42.004280056652085,-87.6744266650215,COLUMBIA,1745 W COLUMBIA AVE,Obstruction
42.01125251327113,-87.68552609845665,ESTES,2136 W ESTES AVE,SurfaceProblem
42.01253281276039,-87.68512060147594,HAMILTON,7206 N HAMILTON AVE,MissingCurbRamp
42.01259532489371,-87.68485243327595,HAMILTON,7211 N HAMILTON AVE,MissingTactileStrip
42.015941376441674,-87.66739103624903,JARVIS,1431 W JARVIS AVE,SurfaceProblem
42.00458006707131,-87.66439826320587,COLUMBIA,1318 W COLUMBIA AVE,Obstruction
42.010051017320464,-87.68759816847144,GREENLEAF,2238 W GREENLEAF AVE,MissingCurbRamp
42.010280329501356,-87.67656803966771,GREENLEAF,1818 W GREENLEAF AVE,SurfaceProblem
42.01994222737272,-87.6720451265982,MARSHFIELD,7616 N MARSHFIELD AVE,Obstruction
42.00850258537056,-87.67593149290755,,-,SurfaceProblem
42.00712276291004,-87.68689646175173,MORSE,2213 W MORSE AVE,Obstruction
42.0087181249693,-87.68138294868871,RIDGE,6979 N RIDGE BLVD,MissingTactileStrip
42.006817912376206,-87.67588008156507,FARWELL,1800 W FARWELL AVE,SurfaceProblem
42.01239502213457,-87.68142586496316,TOUHY,2029 W TOUHY AVE,MissingCurbRamp
42.00031725216627,-87.66246671327713,ARTHUR,1243 W ARTHUR AVE,Obstruction
42.00651187832548,-87.66920034900626,FARWELL,1529-1537 W FARWELL AVE,MissingCurbRamp
42.01048968084555,-87.66437837282811,GREENLEAF,1344-1346 W GREENLEAF AVE,Obstruction
41.998302790961255,-87.6708782471366,CLARK,6404 N CLARK ST,Obstruction
42.017025779708824,-87.68764164567622,OAKLEY,7446 N OAKLEY AVE,SurfaceProblem
42.00052188110658,-87.66694801736655,NEWGARD,6516 N NEWGARD AVE,MissingTactileStrip
42.00427073813505,-87.67503150279913,COLUMBIA,1759 W COLUMBIA AVE,MissingCurbRamp
42.010074870926545,-87.66564783230096,GREENLEAF,1373 W GREENLEAF AVE,Obstruction
42.007352055743375,-87.68568736794485,MORSE,2144 W MORSE AVE,MissingTactileStrip
41.99867466969557,-87.68611599878702,BELL,6429 N BELL AVE,Obstruction
42.01036844771356,-87.67151945804602,GREENLEAF,1634 W GREENLEAF AVE,SurfaceProblem
42.0014634327931,-87.65796505733158,LOYOLA,1039 W LOYOLA AVE,SurfaceProblem
42.008914002898145,-87.6709708758087,LUNT,1621 W LUNT AVE,Obstruction
41.99907318860449,-87.67268161496195,PAULINA,6432 N PAULINA ST,MissingTactileStrip
42.01550521768897,-87.68650023598113,BELL,7346 N BELL AVE,Obstruction
42.00030446628077,-87.6636864716845,ARTHUR,1311 W ARTHUR AVE,MissingCurbRamp
42.00656295225167,-87.6810064053596,FARWELL,2000 W FARWELL AVE,MissingTactileStrip
42.01119857924682,-87.6796399529392,ESTES,1937 W ESTES AVE,Obstruction
42.00029453010215,-87.66814770278226,GREENVIEW,6508 N GREENVIEW AVE,MissingTactileStrip
42.01048388267675,-87.66474578080796,GREENLEAF,1354-1356 W GREENLEAF AVE,Obstruction
42.00779805283105,-87.6794715171492,MORSE,1936 W MORSE AVE,MissingCurbRamp
